,연도,월,일,시간,시군구명,읍면동명,온도,습도,시간단위풍속,현장소방서거리,화재진압시간,전체인력수합계,damagearea
93,2020.0,3.0,19.0,12,원주시,지정면,11.0,46.0,315.0,28.0,21950.0,174.0,2.2
97,2020.0,3.0,26.0,11,양양군,현남면,16.0,54.0,135.0,24.0,2046.0,197.0,0.3
98,2020.0,3.0,26.0,11,양양군,현남면,16.0,54.0,135.0,24.0,2046.0,197.0,0.8
99,2020.0,3.0,26.0,12,철원군,갈말읍,19.0,33.0,135.0,2.0,61250.0,383.0,5.0
100,2020.0,3.0,26.0,12,철원군,갈말읍,19.0,33.0,135.0,2.0,61250.0,383.0,9.85
102,2020.0,4.0,1.0,11,평창군,미탄면,15.0,24.0,0.0,16.0,4630.0,84.0,0.05
107,2020.0,4.0,8.0,12,영월군,주천면,14.0,11.0,270.0,31.0,34606.0,146.0,0.8
108,2020.0,4.0,8.0,12,영월군,주천면,14.0,11.0,270.0,31.0,34606.0,146.0,11.91
109,2020.0,4.0,8.0,13,원주시,소초면,10.0,23.0,315.0,8.0,12614.0,96.0,1.5
112,2020.0,4.0,10.0,11,원주시,신림면,11.0,38.0,90.0,23.0,20927.0,124.0,0.5
113,2020.0,4.0,10.0,11,평창군,진부면,7.0,30.0,45.0,46.0,12722.0,128.0,0.3
122,2020.0,4.0,24.0,11,철원군,갈말읍,13.0,41.0,135.0,5.0,33143.0,112.0,0.6
125,2020.0,4.0,27.0,11,횡성군,공근면,14.0,49.0,180.0,9.0,10141.0,64.0,0.02
132,2020.0,5.0,6.0,11,철원군,철원읍,21.0,42.0,135.0,18.0,14122.0,71.0,0.06
140,2020.0,10.0,6.0,14,춘천시,사북면,18.0,41.0,225.0,30.0,12001.0,61.0,0.01
144,2020.0,10.0,18.0,13,홍천군,화촌면,18.0,42.0,270.0,16.0,31356.0,38.0,0.01
148,2020.0,11.0,4.0,12,철원군,동송읍,6.0,23.0,270.0,13.0,5458.0,105.0,0.01
150,2020.0,11.0,16.0,12,홍천군,홍천읍,13.0,59.0,225.0,8.0,110345.0,0.0,0.1
154,2020.0,12.0,12.0,11,원주시,신림면,3.0,42.0,315.0,24.0,10302.0,53.0,0.5
220,2021.0,4.0,25.0,12,평창군,봉평면,13.0,41.0,135.0,42.0,22638.0,53.0,0.09
221,2021.0,4.0,25.0,12,평창군,봉평면,13.0,41.0,135.0,42.0,22638.0,53.0,0.01
225,2019.0,1.0,10.0,11,고성군,토성면,5.0,19.0,45.0,15.0,3617.0,90.0,0.5
226,2019.0,1.0,10.0,11,고성군,토성면,5.0,19.0,45.0,15.0,3617.0,90.0,0.35
228,2019.0,1.0,20.0,12,춘천시,서면,2.0,30.0,225.0,11.0,24339.0,156.0,1.2
229,2019.0,1.0,20.0,12,춘천시,서면,2.0,30.0,225.0,11.0,24339.0,156.0,1.46
237,2019.0,1.0,29.0,12,횡성군,청일면,4.0,23.0,225.0,26.0,3919.0,101.0,0.4
244,2019.0,2.0,27.0,11,평창군,용평면,8.0,50.0,180.0,30.0,4323.0,86.0,0.1
247,2019.0,3.0,3.0,11,원주시,단계동,11.0,26.0,135.0,5.0,2028.0,74.0,0.1
248,2019.0,3.0,4.0,12,홍천군,동면,15.0,24.0,270.0,19.0,13016.0,196.0,0.6
249,2019.0,3.0,4.0,13,횡성군,우천면,16.0,28.0,180.0,8.0,4523.0,95.0,0.1
253,2019.0,3.0,13.0,10,강릉시,연곡면,6.0,28.0,270.0,30.0,2732.0,116.0,0.01
255,2019.0,3.0,17.0,12,속초시,도문동,11.0,34.0,135.0,9.0,24041.0,538.0,1.0
256,2019.0,3.0,17.0,12,속초시,도문동,11.0,34.0,135.0,9.0,24041.0,538.0,1.3
265,2019.0,4.0,7.0,10,영월군,김삿갓면,16.0,44.0,135.0,31.0,5157.0,96.0,0.3
269,2019.0,4.0,16.0,11,고성군,현내면,22.0,23.0,225.0,26.0,5906.0,269.0,0.09
270,2019.0,4.0,16.0,11,고성군,현내면,22.0,23.0,225.0,26.0,5906.0,269.0,0.2
273,2019.0,4.0,20.0,12,춘천시,사북면,18.0,48.0,270.0,20.0,3756.0,68.0,0.03
281,2019.0,5.0,5.0,11,횡성군,둔내면,21.0,50.0,0.0,34.0,22225.0,49.0,0.15
286,2019.0,5.0,7.0,11,춘천시,동면,20.0,21.0,135.0,60.0,15355.0,76.0,2.0
287,2019.0,5.0,7.0,11,춘천시,동면,20.0,21.0,135.0,60.0,15355.0,76.0,1.5
294,2019.0,5.0,12.0,11,정선군,신동읍,24.0,28.0,225.0,34.0,5724.0,162.0,0.1
297,2019.0,5.0,23.0,12,정선군,임계면,26.0,20.0,225.0,34.0,5903.0,123.0,0.1
298,2019.0,5.0,24.0,12,영월군,영월읍,31.0,28.0,270.0,6.0,13411.0,50.0,0.1
309,2019.0,8.0,23.0,12,횡성군,서원면,27.0,60.0,180.0,33.0,11830.0,106.0,0.22
310,2019.0,8.0,23.0,12,횡성군,서원면,27.0,60.0,180.0,33.0,11830.0,106.0,0.15
313,2019.0,12.0,4.0,11,양구군,양구읍,6.0,24.0,315.0,11.0,3451.0,73.0,0.1
315,2019.0,12.0,5.0,10,삼척시,도계읍,-4.0,28.0,180.0,33.0,12539.0,133.0,0.1
316,2019.0,12.0,5.0,10,삼척시,도계읍,-4.0,28.0,180.0,33.0,12539.0,133.0,0.27
319,2019.0,12.0,20.0,11,홍천군,홍천읍,1.0,32.0,315.0,8.0,2754.0,26.0,0.04
322,2018.0,1.0,2.0,20,원주시,소초면,-5.0,43.0,225.0,15.0,11423.0,74.0,0.01
324,2018.0,1.0,14.0,19,양양군,양양읍,6.0,53.0,225.0,10.0,145435.0,1229.0,1.2
329,2018.0,2.0,1.0,13,홍천군,서석면,-1.0,40.0,315.0,39.0,5327.0,100.0,0.02
333,2018.0,2.0,8.0,15,양구군,남면,2.0,22.0,135.0,62.0,12813.0,94.0,0.06
336,2018.0,2.0,11.0,21,삼척시,도계읍,-11.0,57.0,225.0,38.0,152243.0,0.0,50.0
337,2018.0,2.0,12.0,12,횡성군,공근면,-3.0,37.0,270.0,15.0,12904.0,103.0,0.1
338,2018.0,2.0,16.0,14,평창군,평창읍,5.0,20.0,315.0,5.0,11443.0,168.0,0.5
340,2018.0,2.0,20.0,15,정선군,신동읍,6.0,24.0,225.0,47.0,5216.0,159.0,0.1
342,2018.0,3.0,14.0,14,춘천시,온의동,20.0,42.0,225.0,6.0,932.0,89.0,0.2
345,2018.0,3.0,25.0,19,원주시,태장동,8.0,62.0,180.0,7.0,12052.0,147.0,0.3
349,2018.0,4.0,1.0,13,철원군,동송읍,20.0,57.0,225.0,18.0,10952.0,57.0,0.1
351,2018.0,4.0,9.0,14,삼척시,원덕읍,13.0,45.0,90.0,40.0,20453.0,198.0,0.3
354,2018.0,4.0,13.0,12,춘천시,동면,18.0,17.0,45.0,37.0,13845.0,104.0,0.02
358,2018.0,4.0,20.0,13,평창군,대관령면,26.0,16.0,315.0,75.0,3411.0,100.0,0.08
359,2018.0,4.0,21.0,10,화천군,간동면,22.0,28.0,45.0,30.0,3210.0,55.0,0.15
360,2018.0,4.0,21.0,11,인제군,인제읍,25.0,15.0,225.0,9.0,223130.0,471.0,3.0
